	activity	positive_P	positive_R	"positive""F1"	support	macro_P	macro_R	macro_F1	accuracy
0	Sleep	0.8013	0.7022	0.7485	178	0.873	0.8346	0.8521	0.9247
1	Bed_Toilet_Transition	1.0	0.7273	0.8421	11	0.9986	0.8636	0.9204	0.9973
2	Toilet	0.7647	0.1806	0.2921	72	0.8555	0.5884	0.6314	0.9435
3	Take_Medicine	0.75	0.1579	0.2609	19	0.8678	0.5785	0.6266	0.9848
4	Dress	0.8	0.1778	0.2909	45	0.8833	0.588	0.6365	0.965
5	Work	0.8889	0.3279	0.479	122	0.9061	0.6614	0.7184	0.922
6	Cook	0.8571	0.3158	0.4615	57	0.9107	0.6565	0.721	0.9623
7	Eat	0.6667	0.3889	0.4912	36	0.8233	0.6912	0.7389	0.974
8	Wash_Dishes	1.0	0.1892	0.3182	37	0.9865	0.5946	0.6522	0.9731
9	Relax	0.8029	0.7143	0.756	154	0.879	0.8431	0.8597	0.9363
10	Personal_Hygiene	0.641	0.6579	0.6494	76	0.808	0.8155	0.8117	0.9516
11	Bathe	1.0	0.2	0.3333	10	0.9964	0.6	0.6649	0.9928
12	Groom	0.6	0.24	0.3429	25	0.7914	0.6182	0.6662	0.9794
13	Drink	0.0	0.0	0.0	34	0.4847	0.4991	0.4918	0.9677
14	Leave_Home	0.7407	0.5714	0.6452	35	0.8635	0.7825	0.8175	0.9803
15	Enter_Home	0.6667	0.25	0.3636	24	0.8252	0.6236	0.677	0.9812
16	Phone	0.0	0.0	0.0	10	0.4955	0.5	0.4977	0.991
