	precision	recall	f1-score	support
Sleep	0.7365	0.691	0.713	178.0
Bed_Toilet_Transition	0.5833	0.6364	0.6087	11.0
Toilet	0.7	0.0972	0.1707	72.0
Take_Medicine	0.6667	0.1053	0.1818	19.0
Dress	0.25	0.0222	0.0408	45.0
Work	0.85	0.2787	0.4198	122.0
Cook	0.75	0.3158	0.4444	57.0
Eat	0.6667	0.3889	0.4912	36.0
Wash_Dishes	0.3333	0.0541	0.093	37.0
Relax	0.7483	0.6948	0.7205	154.0
Personal_Hygiene	0.6667	0.6579	0.6623	76.0
Bathe	0.0	0.0	0.0	10.0
Groom	0.6	0.12	0.2	25.0
Drink	1.0	0.0294	0.0571	34.0
Leave_Home	0.8571	0.5143	0.6429	35.0
Enter_Home	0.6667	0.0833	0.1481	24.0
Phone	0.0	0.0	0.0	10.0
micro avg	0.7271	0.4116	0.5257	945.0
macro avg	0.5927	0.2758	0.3291	945.0
weighted avg	0.6937	0.4116	0.469	945.0
samples avg	0.2997	0.2341	0.2529	945.0
