	precision	recall	f1-score	support
Sleep	0.8079	0.6854	0.7416	178.0
Bed_Toilet_Transition	1.0	0.2727	0.4286	11.0
Toilet	0.8333	0.0694	0.1282	72.0
Take_Medicine	1.0	0.1579	0.2727	19.0
Dress	0.5	0.0222	0.0426	45.0
Work	0.9286	0.2131	0.3467	122.0
Cook	0.9091	0.1754	0.2941	57.0
Eat	0.7778	0.1944	0.3111	36.0
Wash_Dishes	0.0	0.0	0.0	37.0
Relax	0.8092	0.6883	0.7439	154.0
Personal_Hygiene	0.6615	0.5658	0.6099	76.0
Bathe	0.0	0.0	0.0	10.0
Groom	0.0	0.0	0.0	25.0
Drink	0.0	0.0	0.0	34.0
Leave_Home	0.75	0.2571	0.383	35.0
Enter_Home	1.0	0.0417	0.08	24.0
Phone	0.0	0.0	0.0	10.0
micro avg	0.7943	0.3556	0.4912	945.0
macro avg	0.5869	0.1967	0.2578	945.0
weighted avg	0.7138	0.3556	0.4228	945.0
samples avg	0.2794	0.2173	0.2342	945.0
